Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,Loan_to_Income_Ratio,EMI,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,0,0,1,0,5849.0,0.0,128.0,360.0,1.0,1,5849.0,0.021884082749187895,0.35555555555555557,0,0,1
1,1,1,1,0,4583.0,1508.0,128.0,360.0,1.0,0,6091.0,0.0210146117222131,0.35555555555555557,1,0,0
1,1,0,1,1,3000.0,0.0,66.0,360.0,1.0,1,3000.0,0.022,0.18333333333333332,0,0,1
1,1,0,0,0,2583.0,2358.0,120.0,360.0,1.0,1,4941.0,0.024286581663630843,0.3333333333333333,0,0,1
1,0,0,1,0,6000.0,0.0,141.0,360.0,1.0,1,6000.0,0.0235,0.39166666666666666,0,0,1
1,1,2,1,1,5417.0,4196.0,261.5,360.0,1.0,1,9613.0,0.027774888172266723,0.7416666666666667,0,0,1
1,1,0,0,0,2333.0,1516.0,95.0,360.0,1.0,1,3849.0,0.024681735515718367,0.2638888888888889,0,0,1
1,1,3,1,0,3036.0,2504.0,158.0,360.0,0.0,0,5540.0,0.02851985559566787,0.4388888888888889,0,1,0
1,1,2,1,0,4006.0,1526.0,168.0,360.0,1.0,1,5532.0,0.03036876355748373,0.4666666666666667,0,0,1
1,1,1,1,0,10171.25,5743.125,261.5,360.0,1.0,0,12555.375,0.014658322483094628,0.9694444444444444,0,1,0
1,1,2,1,0,3200.0,700.0,70.0,360.0,1.0,1,3900.0,0.017948717948717947,0.19444444444444445,0,0,1
1,1,2,1,0,2500.0,1840.0,109.0,360.0,1.0,1,4340.0,0.02511520737327189,0.30277777777777776,0,0,1
1,1,2,1,0,3073.0,5743.125,200.0,360.0,1.0,1,11179.0,0.01789068789694964,0.5555555555555556,0,0,1
1,0,0,1,0,1853.0,2840.0,114.0,360.0,1.0,0,4693.0,0.024291497975708502,0.31666666666666665,1,0,0
1,1,2,1,0,1299.0,1086.0,17.0,120.0,1.0,1,2385.0,0.007127882599580713,0.14166666666666666,0,0,1
1,0,0,1,0,4950.0,0.0,125.0,360.0,1.0,1,4950.0,0.025252525252525252,0.3472222222222222,0,0,1
1,0,1,0,0,3596.0,0.0,100.0,240.0,1.0,1,3596.0,0.027808676307007785,0.4166666666666667,0,0,1
0,0,0,1,0,3510.0,0.0,76.0,360.0,0.0,0,3510.0,0.021652421652421653,0.2111111111111111,0,0,1
1,1,0,0,0,4887.0,0.0,133.0,360.0,1.0,0,4887.0,0.027215060364231634,0.36944444444444446,1,0,0
1,1,0,1,0,2600.0,3500.0,115.0,360.0,1.0,1,6100.0,0.018852459016393444,0.3194444444444444,0,0,1
1,1,0,0,0,7660.0,0.0,104.0,360.0,0.0,0,7660.0,0.013577023498694517,0.28888888888888886,0,0,1
1,1,1,1,0,5955.0,5625.0,261.5,360.0,1.0,1,11580.0,0.027202072538860103,0.875,0,0,1
1,1,0,0,0,2600.0,1911.0,116.0,360.0,0.0,0,4511.0,0.025714919086677012,0.32222222222222224,0,1,0
1,1,2,0,0,3365.0,1917.0,112.0,360.0,0.0,0,5282.0,0.021204089360090876,0.3111111111111111,1,0,0
